id,title,authors,pages,url,section,issue,abstract,tags,date,pdf_url,database,year,volume,month,eng_title,doi_url,page_count
article-10012,Ter inleiding,"De Redactie van ""M. en M.""",1-2,https://ugp.rug.nl/MenM/article/view/15397,artikelen,Vol 1 Nr 1 (1925),,,1925-03-01,https://ugp.rug.nl/MenM/article/download/15397/12904/16477,1,1925,,,,,2
article-10013,Verslag der Ethnologenbijeenkomst te Amsterdam,,,https://ugp.rug.nl/MenM/article/view/15398,algemeen,Vol 1 Nr 1 (1925),,,1925-03-01,https://ugp.rug.nl/MenM/article/download/15398/12905/16478,1,1925,,,,,8
article-10014,Boekbesprekingen,,69-78,https://ugp.rug.nl/MenM/article/view/15399,boekbesprekingen,Vol 1 Nr 1 (1925),,,1925-03-01,https://ugp.rug.nl/MenM/article/download/15399/12906/16479,1,1925,,,,,10
article-10015,De ethiek der geldbelegging,"Casimir,R.",169-182,https://ugp.rug.nl/MenM/article/view/15400,artikelen,Vol 1 Nr 2 (1925),,,1925-06-01,https://ugp.rug.nl/MenM/article/download/15400/12907/16480,1,1925,,,,,14
article-10016,Het kinprobleem,"Mijsberg,W. A.",153-168,https://ugp.rug.nl/MenM/article/view/15401,artikelen,Vol 1 Nr 2 (1925),,,1925-06-01,https://ugp.rug.nl/MenM/article/download/15401/12908/16481,1,1925,,,,,16
article-10017,Het sprookjes-onderzoek der Finsche school. (Methode en resultaten),"Vries,Jan de",199-210,https://ugp.rug.nl/MenM/article/view/15402,artikelen,Vol 1 Nr 2 (1925),,,1925-06-01,https://ugp.rug.nl/MenM/article/download/15402/12909/16482,1,1925,,,,,12
article-10018,"Recht, wet en staat","Muller,J. W.",113-153,https://ugp.rug.nl/MenM/article/view/15403,artikelen,Vol 1 Nr 2 (1925),,,1925-06-01,https://ugp.rug.nl/MenM/article/download/15403/12910/16483,1,1925,,,,,40
article-10019,Gelijkvormigheidsprobleem en menschheidsgedachte,"Visser,H. L. A.",183-198,https://ugp.rug.nl/MenM/article/view/15404,artikelen,Vol 1 Nr 2 (1925),,,1925-06-01,https://ugp.rug.nl/MenM/article/download/15404/12911/16484,1,1925,,,,,16
article-10020,Nederlandsch Nationaal Bureau voor Anthropologie,,,https://ugp.rug.nl/MenM/article/view/15405,algemeen,Vol 1 Nr 2 (1925),,,1925-06-01,https://ugp.rug.nl/MenM/article/download/15405/12912/16485,1,1925,,,,,23
article-10021,Referaten,,,https://ugp.rug.nl/MenM/article/view/15406,algemeen,Vol 1 Nr 2 (1925),,,1925-06-01,https://ugp.rug.nl/MenM/article/download/15406/12913/16486,1,1925,,,,,7
article-10022,Varia,,,https://ugp.rug.nl/MenM/article/view/15407,algemeen,Vol 1 Nr 2 (1925),,,1925-06-01,https://ugp.rug.nl/MenM/article/download/15407/12914/16487,1,1925,,,,,4
article-10023,Agenda,,,https://ugp.rug.nl/MenM/article/view/15408,algemeen,Vol 1 Nr 2 (1925),,,1925-06-01,https://ugp.rug.nl/MenM/article/download/15408/12915/16488,1,1925,,,,,1
article-10024,Boekbesprekingen,,211-221,https://ugp.rug.nl/MenM/article/view/15409,boekbesprekingen,Vol 1 Nr 2 (1925),,,1925-06-01,https://ugp.rug.nl/MenM/article/download/15409/12916/16489,1,1925,,,,,11
article-10025,Antwoord op 'Individueel instinkt en soortinstinkt',"Westendorp Boerma,N.",335-336,https://ugp.rug.nl/MenM/article/view/15410,artikelen,Vol 1 Nr 3 (1925),,,1925-09-01,https://ugp.rug.nl/MenM/article/download/15410/12917/16490,1,1925,,,,,2
article-10026,De invloed van de natuur op den mensch (Anthropogeografie). De opvattingen in den tijd der verlichting,"Berner,Ulrich",293-322,https://ugp.rug.nl/MenM/article/view/15411,artikelen,Vol 1 Nr 3 (1925),,,1925-09-01,https://ugp.rug.nl/MenM/article/download/15411/12918/16491,1,1925,,,,,30
article-10027,Individueel instinkt en soortinstinkt,"Lange Jr.,Dan. de",327-334,https://ugp.rug.nl/MenM/article/view/15412,artikelen,Vol 1 Nr 3 (1925),,,1925-09-01,https://ugp.rug.nl/MenM/article/download/15412/12919/16492,1,1925,,,,,8
article-10028,Kant en de wereldvrede,"Groenewegen,H. IJ.",283-292,https://ugp.rug.nl/MenM/article/view/15413,artikelen,Vol 1 Nr 3 (1925),,,1925-09-01,https://ugp.rug.nl/MenM/article/download/15413/12920/16493,1,1925,,,,,10
article-10029,Over de oudste bevolkingselementen van ons land,"Giffen,A. E. van",257-279,https://ugp.rug.nl/MenM/article/view/15414,artikelen,Vol 1 Nr 3 (1925),,,1925-09-01,https://ugp.rug.nl/MenM/article/download/15414/12921/16494,1,1925,,,,,23
article-10030,In memoriam Prof.Mr. Willem Zevenbergen (11 juli 1884- 31 aug. 1925),"Polak,Leo",323-324,https://ugp.rug.nl/MenM/article/view/15415,artikelen,Vol 1 Nr 3 (1925),,,1925-09-01,https://ugp.rug.nl/MenM/article/download/15415/12922/16495,1,1925,,,,,2
article-10031,Wat is sociographie?,"Steinmetz,S. R.",280-282,https://ugp.rug.nl/MenM/article/view/15416,artikelen,Vol 1 Nr 3 (1925),,,1925-09-01,https://ugp.rug.nl/MenM/article/download/15416/12923/16496,1,1925,,,,,3
article-10032,Referaten,,,https://ugp.rug.nl/MenM/article/view/15417,algemeen,Vol 1 Nr 3 (1925),,,1925-09-01,https://ugp.rug.nl/MenM/article/download/15417/12924/16497,1,1925,,,,,12
article-10033,Nederlandsch Nationaal Bureau voor Anthropologie,,,https://ugp.rug.nl/MenM/article/view/15418,algemeen,Vol 1 Nr 3 (1925),,,1925-09-01,https://ugp.rug.nl/MenM/article/download/15418/12925/16498,1,1925,,,,,4
article-10034,Varia,,,https://ugp.rug.nl/MenM/article/view/15419,algemeen,Vol 1 Nr 3 (1925),,,1925-09-01,https://ugp.rug.nl/MenM/article/download/15419/12926/16499,1,1925,,,,,4
article-10035,Boekbesprekingen,,337-348,https://ugp.rug.nl/MenM/article/view/15420,boekbesprekingen,Vol 1 Nr 3 (1925),,,1925-09-01,https://ugp.rug.nl/MenM/article/download/15420/12927/16500,1,1925,,,,,12
article-10036,Amerikaanse sociale partijvorming,"Levenbach,Marius G.",493-434,https://ugp.rug.nl/MenM/article/view/15421,artikelen,Vol 1 Nr 4 (1925),,,1925-12-01,https://ugp.rug.nl/MenM/article/download/15421/12928/16501,1,1925,,,,,12
article-10037,Dankbaarheid,"Bussy,I. J. de,   Westendorp Boerma,N.",391-417,https://ugp.rug.nl/MenM/article/view/15422,artikelen,Vol 1 Nr 4 (1925),Naar aanteekeningen van Prof. I. J. de Bussy; bewerkt door N. Westendorp Boerma,,1925-12-01,https://ugp.rug.nl/MenM/article/download/15422/12929/16502,1,1925,,,,,27
article-10038,Denkbeelden der Inlanders van den Indischen Archipel omtrent het ontstaan van ziekte,"Kleiweg de Zwaan,J. P.",418-492,https://ugp.rug.nl/MenM/article/view/15423,artikelen,Vol 1 Nr 4 (1925),,,1925-12-01,https://ugp.rug.nl/MenM/article/download/15423/12930/16503,1,1925,,,,,5
article-10039,De heerschappij van het strafrecht,"Heijnsbergen,P. van",369-382,https://ugp.rug.nl/MenM/article/view/15424,artikelen,Vol 1 Nr 4 (1925),,,1925-12-01,https://ugp.rug.nl/MenM/article/download/15424/12931/16504,1,1925,,,,,14
article-10040,Magisch of ethisch denken ten aanzien van het sexueele,"Gewin,Everard",435-442,https://ugp.rug.nl/MenM/article/view/15425,artikelen,Vol 1 Nr 4 (1925),,,1925-12-01,https://ugp.rug.nl/MenM/article/download/15425/12932/16505,1,1925,,,,,8
article-10041,Slangenhoornen en slangentongen als voorbehoedmiddel tegen vergiftiging,"Andel,M. A. van",383-390,https://ugp.rug.nl/MenM/article/view/15426,artikelen,Vol 1 Nr 4 (1925),,,1925-12-01,https://ugp.rug.nl/MenM/article/download/15426/12933/16506,1,1925,,,,,8
article-10042,Inhoud van jaargang I,,,https://ugp.rug.nl/MenM/article/view/15427,algemeen,Vol 1 Nr 4 (1925),,,1925-12-01,https://ugp.rug.nl/MenM/article/download/15427/12934/16507,1,1925,,,,,2
article-10043,Nederlandsch Nationaal Bureau voor Anthropologie,,,https://ugp.rug.nl/MenM/article/view/15428,algemeen,Vol 1 Nr 4 (1925),,,1925-12-01,https://ugp.rug.nl/MenM/article/download/15428/12935/16508,1,1925,,,,,7
article-10044,Referaten,,,https://ugp.rug.nl/MenM/article/view/15429,algemeen,Vol 1 Nr 4 (1925),,,1925-12-01,https://ugp.rug.nl/MenM/article/download/15429/12936/16509,1,1925,,,,,8
article-10045,Varia,,,https://ugp.rug.nl/MenM/article/view/15430,algemeen,Vol 1 Nr 4 (1925),,,1925-12-01,https://ugp.rug.nl/MenM/article/download/15430/12937/16510,1,1925,,,,,6
article-10046,Boekbesprekingen,,443-452,https://ugp.rug.nl/MenM/article/view/15431,boekbesprekingen,Vol 1 Nr 4 (1925),,,1925-12-01,https://ugp.rug.nl/MenM/article/download/15431/12938/16511,1,1925,,,,,10
article-10047,Rudolf Martin (In memoriam),"Kleiweg de Zwaan,J. P.",325-326,https://ugp.rug.nl/MenM/article/view/15432,artikelen,Vol 1 Nr 3 (1925),,,1925-09-01,https://ugp.rug.nl/MenM/article/download/15432/12939/16512,1,1925,,,,,3
article-10048,"Personen- en Zaakregister, Jaargang 1925",,,https://ugp.rug.nl/MenM/article/view/15434,algemeen,Vol 1 Nr 4 (1925),,,1925-12-01,https://ugp.rug.nl/MenM/article/download/15434/12941/16514,1,1925,,,,,5
article-10049,Boekbesprekingen,,84-99,https://ugp.rug.nl/MenM/article/view/15342,boekbesprekingen,Vol 2 Nr 1 (1926),,,1926-03-01,https://ugp.rug.nl/MenM/article/download/15342/12849/16422,1,1926,,,,,16
article-10050,Eenige demografische gegevens over de Joden te Amsterdam,"Zanten,J. H. van",1-24,https://ugp.rug.nl/MenM/article/view/15343,artikelen,Vol 2 Nr 1 (1926),,,1926-03-01,https://ugp.rug.nl/MenM/article/download/15343/12850/16423,1,1926,,,,,24
article-10051,Het gezinsleven in het oosten van Noord-Brabant,"Barentsen,P. A.",44-60,https://ugp.rug.nl/MenM/article/view/15344,artikelen,Vol 2 Nr 1 (1926),,,1926-03-01,https://ugp.rug.nl/MenM/article/download/15344/12851/16424,1,1926,,,,,17
article-10052,Primitieve goederen-circulatie en ruilmiddelen,"Romein,J. J.",25-43,https://ugp.rug.nl/MenM/article/view/15345,artikelen,Vol 2 Nr 1 (1926),,,1926-03-01,https://ugp.rug.nl/MenM/article/download/15345/12852/16425,1,1926,,,,,19
article-10053,Toeneming der bevolking en stijging van den levensduur,"Wilde,P. A. de",79-83,https://ugp.rug.nl/MenM/article/view/15346,artikelen,Vol 2 Nr 1 (1926),,,1926-03-01,https://ugp.rug.nl/MenM/article/download/15346/12853/16426,1,1926,,,,,5
article-10054,Wilsconflict tusschen dooden en nabestaanden. Ethische probleemstelling,"Vrij,M. P.",61-78,https://ugp.rug.nl/MenM/article/view/15347,artikelen,Vol 2 Nr 1 (1926),,,1926-03-01,https://ugp.rug.nl/MenM/article/download/15347/12854/16427,1,1926,,,,,18
article-10055,Nederlandsch Nationaal Bureau voor Anthropologie,,,https://ugp.rug.nl/MenM/article/view/15348,algemeen,Vol 2 Nr 1 (1926),,,1926-03-01,https://ugp.rug.nl/MenM/article/download/15348/12855/16428,1,1926,,,,,9
article-10056,Referaten,,,https://ugp.rug.nl/MenM/article/view/15349,algemeen,Vol 2 Nr 1 (1926),,,1926-03-01,https://ugp.rug.nl/MenM/article/download/15349/12856/16429,1,1926,,,,,11
article-10057,Varia,,,https://ugp.rug.nl/MenM/article/view/15350,algemeen,Vol 2 Nr 1 (1926),,,1926-03-01,https://ugp.rug.nl/MenM/article/download/15350/12857/16430,1,1926,,,,,9
article-10058,Titelpagina 1926 tweede jaargang,,,https://ugp.rug.nl/MenM/article/view/15351,algemeen,Vol 2 Nr 1 (1926),,,1926-03-01,https://ugp.rug.nl/MenM/article/download/15351/12858/16431,1,1926,,,,,1
article-10059,Boekbesprekingen,,214-224,https://ugp.rug.nl/MenM/article/view/15352,boekbesprekingen,Vol 2 Nr 2 (1926),,,1926-06-01,https://ugp.rug.nl/MenM/article/download/15352/12859/16432,1,1926,,,,,11
article-10060,De doodenvrees bij primitieve volkeren,"Geurtjens,M. S. C.",157-164,https://ugp.rug.nl/MenM/article/view/15353,artikelen,Vol 2 Nr 2 (1926),,,1926-06-01,https://ugp.rug.nl/MenM/article/download/15353/12860/16433,1,1926,,,,,8
article-10061,De kastenmaatschappij in Britsch-Indië en op Bali. A. Britsch-Indië,"Lekkerkerker,C.",175-213,https://ugp.rug.nl/MenM/article/view/15354,artikelen,Vol 2 Nr 2 (1926),,,1926-06-01,https://ugp.rug.nl/MenM/article/download/15354/12861/16434,1,1926,,,,,39
article-10062,De palaeolithische kunst,"Bouman,Herman",129-151,https://ugp.rug.nl/MenM/article/view/15355,artikelen,Vol 2 Nr 2 (1926),,,1926-06-01,https://ugp.rug.nl/MenM/article/download/15355/12862/16435,1,1926,,,,,23
article-10063,Het onbepaalde strafvonnis,"Slingenberg,J.",165-174,https://ugp.rug.nl/MenM/article/view/15356,artikelen,Vol 2 Nr 2 (1926),,,1926-06-01,https://ugp.rug.nl/MenM/article/download/15356/12863/16436,1,1926,,,,,10
article-10064,Congenitale blauwe vlekken bij Tunisische kinderen,"Kate,H. ten",152-156,https://ugp.rug.nl/MenM/article/view/15357,artikelen,Vol 2 Nr 2 (1926),,,1926-06-01,https://ugp.rug.nl/MenM/article/download/15357/12864/16437,1,1926,,,,,6
article-10065,Nederlandsch Nationaal Bureau voor Anthropologie,,,https://ugp.rug.nl/MenM/article/view/15358,algemeen,Vol 2 Nr 2 (1926),,,1926-06-01,https://ugp.rug.nl/MenM/article/download/15358/12865/16438,1,1926,,,,,17
article-10066,Varia,,,https://ugp.rug.nl/MenM/article/view/15360,algemeen,Vol 2 Nr 2 (1926),,,1926-06-01,https://ugp.rug.nl/MenM/article/download/15360/12867/16440,1,1926,,,,,3
article-10067,Verslag der Ethnologenbijeenkomst te Amsterdam,,,https://ugp.rug.nl/MenM/article/view/15361,algemeen,Vol 2 Nr 2 (1926),,,1926-06-01,https://ugp.rug.nl/MenM/article/download/15361/12868/16441,1,1926,,,,,4
article-10068,Boekbesprekingen,,347-355,https://ugp.rug.nl/MenM/article/view/15362,boekbesprekingen,Vol 2 Nr 3 (1926),,,1926-09-01,https://ugp.rug.nl/MenM/article/download/15362/12869/16442,1,1926,,,,,9
article-10069,Brielle,"Veen,H. N. ter",270-290,https://ugp.rug.nl/MenM/article/view/15363,artikelen,Vol 2 Nr 3 (1926),,,1926-09-01,https://ugp.rug.nl/MenM/article/download/15363/12870/16443,1,1926,,,,,21
article-10070,De kastenmaatschappij in Britsch-Indië en op Bali. B. Bali,"Lekkerkerker,C.",300-334,https://ugp.rug.nl/MenM/article/view/15364,artikelen,Vol 2 Nr 3 (1926),,,1926-09-01,https://ugp.rug.nl/MenM/article/download/15364/12871/16444,1,1926,,,,,35
article-10071,De verdeeling der menschheid in bloedgroepen,"Herwerden,M. A. van",257-269,https://ugp.rug.nl/MenM/article/view/15365,artikelen,Vol 2 Nr 3 (1926),,,1926-09-01,https://ugp.rug.nl/MenM/article/download/15365/12872/16445,1,1926,,,,,13
article-10072,Aanteekeningen over volksgeneeskunst in en om Broek in Waterland,"Bakker,C.",335-346,https://ugp.rug.nl/MenM/article/view/15366,artikelen,Vol 2 Nr 3 (1926),,,1926-09-01,https://ugp.rug.nl/MenM/article/download/15366/12873/16446,1,1926,,,,,12
article-10073,Tendentieuze ethnographie,"Fahrenfort,J. J.",291-299,https://ugp.rug.nl/MenM/article/view/15367,artikelen,Vol 2 Nr 3 (1926),,,1926-09-01,https://ugp.rug.nl/MenM/article/download/15367/12874/16447,1,1926,,,,,9
article-10074,Nederlandsch Nationaal Bureau voor Anthropologie,,,https://ugp.rug.nl/MenM/article/view/15368,algemeen,Vol 2 Nr 3 (1926),,,1926-09-01,https://ugp.rug.nl/MenM/article/download/15368/12875/16448,1,1926,,,,,17
article-10075,Varia,,,https://ugp.rug.nl/MenM/article/view/15370,algemeen,Vol 2 Nr 3 (1926),,,1926-09-01,https://ugp.rug.nl/MenM/article/download/15370/12877/16450,1,1926,,,,,3
article-10076,Alcohol en erfelijkheid,"Frets,G. P.",444-446,https://ugp.rug.nl/MenM/article/view/15371,artikelen,Vol 2 Nr 4 (1926),,,1926-12-01,https://ugp.rug.nl/MenM/article/download/15371/12878/16451,1,1926,,,,,3
article-10077,Crimineele abortus,"Hoeven,L. van der",430-438,https://ugp.rug.nl/MenM/article/view/15372,artikelen,Vol 2 Nr 4 (1926),,,1926-12-01,https://ugp.rug.nl/MenM/article/download/15372/12879/16452,1,1926,,,,,9
article-10078,Enkele belangrijke demografische feiten,"Methorst,H. W.",407-429,https://ugp.rug.nl/MenM/article/view/15373,artikelen,Vol 2 Nr 4 (1926),,,1926-12-01,https://ugp.rug.nl/MenM/article/download/15373/12880/16453,1,1926,,,,,23
article-10079,Over den oorsprong der sprookjes,"Vries,J. de",393-406,https://ugp.rug.nl/MenM/article/view/15375,artikelen,Vol 2 Nr 4 (1926),,,1926-12-01,https://ugp.rug.nl/MenM/article/download/15375/12882/16455,1,1926,,,,,14
article-10080,Zwakzinnige tweelingen,"Herderschêe,D.",439-443,https://ugp.rug.nl/MenM/article/view/15376,artikelen,Vol 2 Nr 4 (1926),,,1926-12-01,https://ugp.rug.nl/MenM/article/download/15376/12883/16456,1,1926,,,,,5
article-10081,Boekbesprekingen,,447-463,https://ugp.rug.nl/MenM/article/view/15377,boekbesprekingen,Vol 2 Nr 4 (1926),,,1926-12-01,https://ugp.rug.nl/MenM/article/download/15377/12884/16457,1,1926,,,,,17
article-10082,Referaten,,,https://ugp.rug.nl/MenM/article/view/15379,algemeen,Vol 2 Nr 4 (1926),,,1926-12-01,https://ugp.rug.nl/MenM/article/download/15379/12886/16459,1,1926,,,,,9
article-10083,Varia,,,https://ugp.rug.nl/MenM/article/view/15380,algemeen,Vol 2 Nr 4 (1926),,,1926-12-01,https://ugp.rug.nl/MenM/article/download/15380/12887/16460,1,1926,,,,,3
article-10084,Inhoud van jaargang II,,,https://ugp.rug.nl/MenM/article/view/15381,algemeen,Vol 2 Nr 4 (1926),,,1926-12-01,https://ugp.rug.nl/MenM/article/download/15381/12888/16461,1,1926,,,,,2
article-10085,Referaten,,,https://ugp.rug.nl/MenM/article/view/15382,algemeen,Vol 2 Nr 2 (1926),,,1926-06-01,https://ugp.rug.nl/MenM/article/download/15382/12889/16462,1,1926,,,,,8
article-10086,Referaten,,,https://ugp.rug.nl/MenM/article/view/15383,algemeen,Vol 2 Nr 3 (1926),,,1926-09-01,https://ugp.rug.nl/MenM/article/download/15383/12890/16463,1,1926,,,,,9
article-10087,"Openingsrede, uitgesproken door prof. dr. G. Heymans op het achtste Internationale Psychologencongres te Groningen","Heymans,G.",385-392,https://ugp.rug.nl/MenM/article/view/15384,artikelen,Vol 2 Nr 4 (1926),,,1926-12-01,https://ugp.rug.nl/MenM/article/download/15384/12891/16464,1,1926,,,,,8
article-10088,"Personen- en Zaakregister, Jaargang 1926",,,https://ugp.rug.nl/MenM/article/view/15385,algemeen,Vol 2 Nr 4 (1926),,,1926-12-01,https://ugp.rug.nl/MenM/article/download/15385/12892/16465,1,1926,,,,,5
article-10089,"""Overstuur""-makende krachten","Gewin,Everard E.",35-40,https://ugp.rug.nl/MenM/article/view/15282,artikelen,Vol 3 Nr 1 (1927),,,1927-02-01,https://ugp.rug.nl/MenM/article/download/15282/12790/16359,1,1927,,,,,6
article-10090,De Orang pandak of Aapmensch van Sumatra,"Dammerdam,K. W.",76-80,https://ugp.rug.nl/MenM/article/view/15283,artikelen,Vol 3 Nr 1 (1927),,,1927-02-01,https://ugp.rug.nl/MenM/article/download/15283/12791/16360,1,1927,,,,,5
article-10091,De prae-historische invalspoort van Drente,"Hielkema,W.,   Terpstra,A.",18-24,https://ugp.rug.nl/MenM/article/view/15284,artikelen,Vol 3 Nr 1 (1927),,,1927-02-01,https://ugp.rug.nl/MenM/article/download/15284/12792/16361,1,1927,,,,,7
article-10092,Naar aanleiding van den Duitschen Sociologendag in Weenen,"Steinmetz,S. R.",1-7,https://ugp.rug.nl/MenM/article/view/15285,artikelen,Vol 3 Nr 1 (1927),,,1927-02-01,https://ugp.rug.nl/MenM/article/download/15285/12793/16362,1,1927,,,,,7
article-10093,Toepassingen van Eugenetiek,"Wijnaendts Francken,C. J.",25-34,https://ugp.rug.nl/MenM/article/view/15286,artikelen,Vol 3 Nr 1 (1927),,,1927-02-01,https://ugp.rug.nl/MenM/article/download/15286/12794/16363,1,1927,,,,,10
article-10094,Varia,,,https://ugp.rug.nl/MenM/article/view/15287,algemeen,Vol 3 Nr 1 (1927),,,1927-02-01,https://ugp.rug.nl/MenM/article/download/15287/12795/16364,1,1927,,,,,6
article-10095,Maatstaf van Vooruitgang,"Visser,H. L. A.",8-17,https://ugp.rug.nl/MenM/article/view/15288,artikelen,Vol 3 Nr 1 (1927),,,1927-02-01,https://ugp.rug.nl/MenM/article/download/15288/12796/16365,1,1927,,,,,10
article-10096,Boekbesprekingen,,41-55,https://ugp.rug.nl/MenM/article/view/15289,boekbesprekingen,Vol 3 Nr 1 (1927),,,1927-02-01,https://ugp.rug.nl/MenM/article/download/15289/12797/16366,1,1927,,,,,15
article-10097,Nederlandsch Nationaal Bureau voor Anthropologie,,,https://ugp.rug.nl/MenM/article/view/15290,algemeen,Vol 3 Nr 1 (1927),,,1927-02-01,https://ugp.rug.nl/MenM/article/download/15290/12798/16367,1,1927,,,,,6
article-10098,Referaten,,,https://ugp.rug.nl/MenM/article/view/15291,algemeen,Vol 3 Nr 1 (1927),,,1927-02-01,https://ugp.rug.nl/MenM/article/download/15291/12799/16368,1,1927,,,,,8
article-10099,Titelpagina 1927 derde jaargang,,,https://ugp.rug.nl/MenM/article/view/15292,algemeen,Vol 3 Nr 1 (1927),,,1927-02-01,https://ugp.rug.nl/MenM/article/download/15292/12800/16369,1,1927,,,,,1
article-10100,Boekbesprekingen,,131-145,https://ugp.rug.nl/MenM/article/view/15293,boekbesprekingen,Vol 3 Nr 2 (1927),,,1927-04-01,https://ugp.rug.nl/MenM/article/download/15293/12801/16370,1,1927,,,,,15
article-10101,De staatstheorie van Thomas Hobbes,"Schmid,J. J. von",84-94,https://ugp.rug.nl/MenM/article/view/15294,artikelen,Vol 3 Nr 2 (1927),,,1927-04-01,https://ugp.rug.nl/MenM/article/download/15294/12802/16371,1,1927,,,,,11
article-10102,De volkenkundige beteekenis der bijenteelt,"Berner,Ulrich",108-115,https://ugp.rug.nl/MenM/article/view/15295,artikelen,Vol 3 Nr 2 (1927),,,1927-04-01,https://ugp.rug.nl/MenM/article/download/15295/12803/16372,1,1927,,,,,7
article-10103,"Opmerkingen naar aanleiding van het achtste Internationale Congres voor Psychologie, gehouden te Groningen (6-11 september 1926)","Seldam,W. H. ten",95-108,https://ugp.rug.nl/MenM/article/view/15296,artikelen,Vol 3 Nr 2 (1927),,,1927-04-01,https://ugp.rug.nl/MenM/article/download/15296/12804/16373,1,1927,,,,,14
article-10104,Een oriëntering ten opzichte van scheidings- en opnemingsritueel in de boerenbruiloft. I,"Ven,D. R. van der",116-130,https://ugp.rug.nl/MenM/article/view/15297,artikelen,Vol 3 Nr 2 (1927),,,1927-04-01,https://ugp.rug.nl/MenM/article/download/15297/12805/16374,1,1927,,,,,15
article-10105,Spinoza. 1677 - 21 Febr. - 1927,"Polak,Leo",81-83,https://ugp.rug.nl/MenM/article/view/15298,artikelen,Vol 3 Nr 2 (1927),,,1927-04-01,https://ugp.rug.nl/MenM/article/download/15298/12806/16375,1,1927,,,,,3
article-10106,Referaten,,,https://ugp.rug.nl/MenM/article/view/15299,algemeen,Vol 3 Nr 2 (1927),,,1927-04-01,https://ugp.rug.nl/MenM/article/download/15299/12807/16376,1,1927,,,,,11
article-10107,Varia,,,https://ugp.rug.nl/MenM/article/view/15300,algemeen,Vol 3 Nr 2 (1927),,,1927-04-01,https://ugp.rug.nl/MenM/article/download/15300/12808/16377,1,1927,,,,,7
article-10108,Nederlandsch Nationaal Bureau voor Anthropologie,,,https://ugp.rug.nl/MenM/article/view/15301,algemeen,Vol 3 Nr 2 (1927),,,1927-04-01,https://ugp.rug.nl/MenM/article/download/15301/12809/16378,1,1927,,,,,3
article-10109,Verslag der Ethnologenbijeenkomst te Amsterdam,,,https://ugp.rug.nl/MenM/article/view/15302,algemeen,Vol 3 Nr 2 (1927),,,1927-04-01,https://ugp.rug.nl/MenM/article/download/15302/12810/16379,1,1927,,,,,10
article-10110,Boekbesprekingen,,234-245,https://ugp.rug.nl/MenM/article/view/15303,boekbesprekingen,Vol 3 Nr 3 (1927),,,1927-06-01,https://ugp.rug.nl/MenM/article/download/15303/12811/16380,1,1927,,,,,12
